name,constellation,magnitude,ra,dec
HIP 1517,Draco,7.95,1.12307,74.58851
HIP 1518,Pegasus,5.81,2.27399,60.48261
HIP 1519,Scorpius,3.59,4.72259,-1.69648
HIP 1520,Draco,6.26,12.42352,8.73151
HIP 1521,Orion,7.66,3.51723,79.5626
HIP 1522,Aquarius,1.74,17.61519,35.85525
HIP 1523,Cygnus,2.94,10.59624,9.5631
HIP 1524,Cassiopeia,7.89,21.90287,-43.03773
HIP 1525,Taurus,5.66,15.59445,9.97553
HIP 1526,Leo,7.05,18.97262,-50.0246
HIP 1527,Cygnus,5.32,16.87985,-47.20375
HIP 1528,Pegasus,7.88,20.78978,62.69796
HIP 1529,Scorpius,3.8,1.01683,78.1799
HIP 1530,Andromeda,1.94,23.46103,0.61892
HIP 1531,Scorpius,2.05,17.08399,4.20959
HIP 1532,Scorpius,6.29,15.53919,11.91897
HIP 1533,Pegasus,6.82,19.91823,84.92441
HIP 1534,Andromeda,3.13,3.48732,-56.32216
HIP 1535,Orion,4.99,8.75959,-70.60499
HIP 1536,Cassiopeia,1.9,11.55501,8.34743
HIP 1537,Leo,2.46,12.90977,68.7521
HIP 1538,Taurus,6.26,5.91961,-22.25981
HIP 1539,Pegasus,2.64,22.44375,-7.58691
HIP 1540,Leo,7.44,22.13317,-79.96949
HIP 1541,Ursa Major,3.54,17.58323,38.45394
HIP 1542,Pegasus,2.29,20.37511,-37.33889
HIP 1543,Pegasus,1.2,0.12527,75.89528
HIP 1544,Orion,3.46,2.10473,-15.50854
HIP 1545,Leo,5.53,2.25607,12.68038
HIP 1546,Cassiopeia,1.29,13.21444,-89.82425
HIP 1547,Andromeda,5.87,8.03618,-1.40891
HIP 1548,Draco,6.8,4.69832,27.5331
HIP 1549,Aquarius,1.08,8.93783,-69.41977
HIP 1550,Leo,1.52,12.00672,-39.43425
HIP 1551,Ursa Major,6.67,19.74238,10.07327
HIP 1552,Andromeda,2.62,12.51906,27.50732
HIP 1553,Ursa Major,3.25,14.69952,44.23494
HIP 1554,Ursa Major,7.78,6.68379,-59.89172
HIP 1555,Aquarius,5.09,12.36695,-84.81486
HIP 1556,Pegasus,4.99,18.90296,35.21658
HIP 1557,Aquarius,7.95,10.13567,37.75873
HIP 1558,Pegasus,6.74,6.26584,67.46995
HIP 1559,Andromeda,6.45,6.07459,-69.65671
HIP 1560,Ursa Major,5.81,0.8337,43.44429
HIP 1561,Leo,5.31,13.3251,14.40127
HIP 1562,Lyra,4.34,5.64613,-2.86669
HIP 1563,Orion,1.36,1.04763,-69.77473
HIP 1564,Ursa Major,2.52,2.00886,43.72092
HIP 1565,Taurus,4.97,14.44887,5.6546
HIP 1566,Lyra,4.02,13.6018,10.02695
HIP 1567,Orion,2.81,21.67205,43.61584
HIP 1568,Pegasus,4.13,13.6982,-64.3273
HIP 1569,Aquarius,1.59,12.18317,5.85964
HIP 1570,Taurus,2.89,0.73729,-35.19295
HIP 1571,Andromeda,1.66,13.78124,-58.57422
HIP 1572,Aquarius,3.79,12.64625,-24.89062
HIP 1573,Pegasus,4.09,16.69596,14.1697
HIP 1574,Orion,5.49,11.65808,62.04753
HIP 1575,Lyra,3.61,3.74098,-27.50807
HIP 1576,Andromeda,3.04,8.18488,15.60442
HIP 1577,Leo,3.13,17.16176,-27.78443
HIP 1578,Orion,6.26,19.52742,22.08712
HIP 1579,Orion,2.54,14.45287,-45.86368
HIP 1580,Scorpius,5.64,19.50176,-8.67234
HIP 1581,Aquarius,4.57,23.36869,3.4092
HIP 1582,Draco,7.44,11.60019,-40.60886
HIP 1583,Lyra,7.62,17.70757,62.26759
HIP 1584,Pegasus,7.73,4.35813,40.77956
HIP 1585,Scorpius,5.4,0.07005,36.80075
HIP 1586,Orion,7.18,18.53391,-13.94271
HIP 1587,Ursa Major,3.91,21.21383,-27.05473
HIP 1588,Pegasus,5.75,14.39159,43.64359
HIP 1589,Aquarius,5.22,19.60934,-18.94174
HIP 1590,Andromeda,7.67,11.85315,-72.14258
HIP 1591,Draco,5.86,13.23739,59.27479
HIP 1592,Taurus,1.6,22.1962,-9.74751
HIP 1593,Lyra,2.23,14.48065,36.22612
HIP 1594,Ursa Major,7.26,11.48236,29.0736
HIP 1595,Ursa Major,3.12,20.35387,-85.63578
HIP 1596,Leo,3.72,18.56259,-1.10685
HIP 1597,Draco,3.06,10.71156,-85.12266
HIP 1598,Cygnus,2.61,7.15392,-20.92082
HIP 1599,Orion,1.69,15.25535,-34.40347
HIP 1600,Lyra,3.04,18.99043,-51.58407
HIP 1601,Orion,6.74,6.63084,-63.4009
HIP 1602,Aquarius,5.75,17.31821,19.18717
HIP 1603,Scorpius,2.34,21.86357,14.16896
HIP 1604,Scorpius,6.25,6.4866,39.99567
HIP 1605,Scorpius,5.88,14.13388,-21.00386
HIP 1606,Aquarius,1.75,22.41287,69.65383
HIP 1607,Lyra,1.58,10.90029,35.02245
HIP 1608,Cygnus,7.09,7.18437,-43.10616
HIP 1609,Cassiopeia,7.95,9.06027,27.08575
HIP 1610,Orion,3.65,7.57902,9.0802
HIP 1611,Lyra,2.64,4.40526,-62.25504
HIP 1612,Lyra,5.64,23.55359,-77.13698
HIP 1613,Lyra,1.41,19.65151,-21.94804
HIP 1614,Cygnus,2.18,22.93769,31.63961
HIP 1615,Pegasus,5.75,2.82905,-57.5537
HIP 1616,Leo,3.94,7.37597,-16.24543
HIP 1617,Leo,5.61,22.77837,-6.83019
HIP 1618,Scorpius,2.55,21.22832,-76.97449
HIP 1619,Cygnus,7.45,22.38476,-25.56819
HIP 1620,Orion,7.39,10.90709,-17.9807
HIP 1621,Draco,7.9,11.89125,-54.34765
HIP 1622,Cygnus,3.55,8.69161,71.9538
HIP 1623,Leo,1.46,14.74507,-75.8485
HIP 1624,Leo,3.65,9.19409,-49.10874
HIP 1625,Cygnus,2.63,0.93821,-54.52929
HIP 1626,Scorpius,4.68,23.55529,-12.79427
HIP 1627,Draco,2.74,22.93185,-3.2881
HIP 1628,Aquarius,6.6,4.63269,45.32876
HIP 1629,Leo,3.99,8.91246,-35.57913
HIP 1630,Draco,3.95,14.17131,69.23269
HIP 1631,Aquarius,4.13,23.44923,40.90247
HIP 1632,Scorpius,6.47,21.73205,-12.03862
HIP 1633,Orion,6,10.78458,21.71177
HIP 1634,Lyra,3.29,4.13053,-38.08608
HIP 1635,Aquarius,2.99,22.46324,17.12058
HIP 1636,Pegasus,1.28,3.49815,32.30711
HIP 1637,Ursa Major,6.29,6.85222,-4.06775
HIP 1638,Orion,7.94,5.02342,-74.31797
HIP 1639,Cygnus,5.22,1.85854,64.52625
HIP 1640,Leo,1.91,3.23327,-78.21651
HIP 1641,Scorpius,6.93,2.03579,-48.96634
HIP 1642,Draco,6.07,15.41146,11.84253
HIP 1643,Aquarius,1.99,20.63772,-5.50227
HIP 1644,Cassiopeia,3.6,9.02149,51.61833
HIP 1645,Ursa Major,3.12,19.00956,28.57219
HIP 1646,Cygnus,2.15,20.79179,-47.23966
HIP 1647,Andromeda,3.79,14.53344,-48.05697
HIP 1648,Cassiopeia,2.45,11.91264,-17.82706
HIP 1649,Lyra,4.98,3.08466,88.05722
HIP 1650,Leo,4.83,6.27917,-60.58417
HIP 1651,Aquarius,3.3,5.37988,-49.76426
HIP 1652,Andromeda,5.35,17.09089,17.08678
HIP 1653,Draco,7.6,14.3434,-27.59736
HIP 1654,Draco,4,21.17419,5.0921
HIP 1655,Leo,1.95,20.59449,62.52956
HIP 1656,Scorpius,1.19,10.17779,14.13033
HIP 1657,Aquarius,5.84,19.07842,-89.91486
HIP 1658,Cygnus,4.64,14.26139,-6.76153
HIP 1659,Cassiopeia,5.53,16.73147,-88.70438
HIP 1660,Lyra,3.25,3.14691,-65.87262
HIP 1661,Orion,5.75,22.33001,-81.43772
HIP 1662,Pegasus,6.92,17.14819,4.56224
HIP 1663,Lyra,2.24,0.67094,83.39598
HIP 1664,Andromeda,7.96,19.24282,23.69279
HIP 1665,Ursa Major,7.52,23.54299,-29.8603
HIP 1666,Orion,1.36,6.48125,-23.59177
HIP 1667,Orion,1.43,16.07605,-86.03915
HIP 1668,Pegasus,7.62,5.02102,-61.79558
HIP 1669,Ursa Major,3.85,16.00139,40.16483
HIP 1670,Pegasus,6.49,0.6254,-46.71757
HIP 1671,Lyra,3.33,2.40604,39.05707
HIP 1672,Ursa Major,4.87,17.02898,86.48371
HIP 1673,Ursa Major,5.11,19.98097,-1.27691
HIP 1674,Pegasus,1.55,2.53824,22.26134
HIP 1675,Cygnus,2.45,21.35673,-56.57859
HIP 1676,Leo,1.76,11.28099,-26.62529
HIP 1677,Leo,5.03,3.43803,87.07043
HIP 1678,Taurus,5.7,10.95904,9.08584
HIP 1679,Aquarius,6.81,23.27949,25.71134
HIP 1680,Leo,1.7,22.1065,85.19042
HIP 1681,Draco,1.85,0.64676,42.70518
HIP 1682,Scorpius,5.25,16.73951,14.40614
HIP 1683,Andromeda,5.33,9.37609,73.36152
HIP 1684,Taurus,1,16.28731,-13.4386
HIP 1685,Pegasus,3.9,15.74499,-44.89503
HIP 1686,Cassiopeia,5.14,18.18688,-77.39225
HIP 1687,Taurus,1.27,20.08314,54.85999
HIP 1688,Andromeda,5.64,8.989,-20.73511
HIP 1689,Ursa Major,1.33,3.84228,-55.889
HIP 1690,Ursa Major,2.76,0.14396,34.47557
HIP 1691,Scorpius,4.55,12.73422,75.34212
HIP 1692,Lyra,3.62,17.36062,-14.44338
HIP 1693,Orion,5.48,2.96296,66.3948
HIP 1694,Ursa Major,1.18,14.88815,-69.36741
HIP 1695,Cygnus,5.74,0.3429,10.1252
HIP 1696,Andromeda,7.43,16.31817,55.44878
HIP 1697,Orion,2.63,7.81041,-54.56511
HIP 1698,Scorpius,7.13,23.31561,54.47228
HIP 1699,Orion,3.32,12.48729,36.20895
HIP 1700,Draco,6.65,17.37147,-77.09722
HIP 1701,Draco,5.52,10.55734,-56.03181
HIP 1702,Pegasus,1.41,14.14752,-35.67782
HIP 1703,Aquarius,1.41,22.23744,-86.07079
HIP 1704,Orion,1.15,17.54609,35.31624
HIP 1705,Draco,7.07,3.78294,56.61039
HIP 1706,Orion,2.06,14.55096,-61.09343
HIP 1707,Pegasus,2.15,15.89831,-44.4326
HIP 1708,Leo,7.78,21.0114,-73.41753
HIP 1709,Andromeda,5.09,5.9621,54.7018
HIP 1710,Taurus,2.14,7.71164,1.04346
HIP 1711,Scorpius,7.03,4.782,20.46018
HIP 1712,Scorpius,2.31,15.77611,39.56238
HIP 1713,Orion,3.32,6.11659,-85.5308
HIP 1714,Leo,6.79,3.02924,-79.94905
HIP 1715,Orion,1.43,13.29533,-47.18332
HIP 1716,Ursa Major,5.8,3.41815,-71.13004
HIP 1717,Aquarius,5.2,7.32275,-28.9038
HIP 1718,Andromeda,2.63,22.14934,-49.33259
HIP 1719,Draco,7.99,11.94109,-52.7565
HIP 1720,Ursa Major,1.69,3.89413,-76.64022
HIP 1721,Andromeda,2.46,21.10025,-61.98278
HIP 1722,Pegasus,3.82,8.52474,-53.18258
HIP 1723,Taurus,3.27,21.24735,-67.40874
HIP 1724,Orion,7.34,17.30164,-24.26821
HIP 1725,Cassiopeia,2.02,15.7709,-29.5524
HIP 1726,Draco,6.68,18.90397,45.22408
HIP 1727,Lyra,3.41,11.58461,72.27251
HIP 1728,Scorpius,6.78,14.34583,13.54874
HIP 1729,Taurus,7.84,5.98723,11.80449
HIP 1730,Taurus,4.57,10.71578,77.76558
HIP 1731,Aquarius,1.02,8.01612,70.16828
HIP 1732,Scorpius,4.39,0.35151,49.74247
HIP 1733,Taurus,5.66,4.64349,-19.4835
HIP 1734,Cassiopeia,1.46,11.78893,0.17087
HIP 1735,Aquarius,2.04,12.61843,25.76663
HIP 1736,Lyra,1.65,19.98509,-81.68596
HIP 1737,Cassiopeia,2.99,20.94566,53.90412
HIP 1738,Draco,4.88,12.92401,15.94834
HIP 1739,Leo,3.73,4.32785,-84.34525
HIP 1740,Aquarius,4.78,4.77195,-19.43547
HIP 1741,Aquarius,5.31,13.07801,-60.69652
HIP 1742,Cygnus,5.8,16.15708,14.99027
HIP 1743,Cygnus,4.22,7.7845,48.4891
HIP 1744,Draco,2.93,4.84969,-62.23425
HIP 1745,Cygnus,7.89,11.35527,-44.78677
HIP 1746,Orion,6.82,16.68713,6.48274
HIP 1747,Cassiopeia,1.9,8.89509,-24.68835
HIP 1748,Scorpius,2.47,14.70016,68.49576
HIP 1749,Andromeda,3.39,11.68889,16.58929
HIP 1750,Andromeda,4.01,5.64128,-27.445
HIP 1751,Orion,7.51,6.4026,-26.58543
HIP 1752,Scorpius,4.25,11.1542,31.31217
HIP 1753,Scorpius,7.59,19.22806,61.07604
HIP 1754,Taurus,1.07,19.06794,31.23256
HIP 1755,Draco,4.98,15.69126,36.03263
HIP 1756,Aquarius,5.54,10.04432,38.8739
HIP 1757,Leo,7.79,14.06975,53.63808
HIP 1758,Orion,4.87,17.4501,-38.84566
HIP 1759,Orion,5.95,16.69175,64.72671
HIP 1760,Cassiopeia,2.02,20.17583,-65.70498
HIP 1761,Taurus,2.05,14.34158,0.76167
HIP 1762,Scorpius,3.53,18.9991,10.14848
HIP 1763,Lyra,5.33,10.18091,8.07015
HIP 1764,Andromeda,6.42,15.45483,-21.27282
HIP 1765,Aquarius,1.15,13.75402,-51.06272
HIP 1766,Cygnus,2.4,6.47771,-65.97924
HIP 1767,Cassiopeia,2.89,18.4878,73.67034
HIP 1768,Pegasus,3.81,14.74185,-53.65073
HIP 1769,Taurus,5.14,10.17126,38.18354
HIP 1770,Cygnus,5.2,15.4219,-9.87455
HIP 1771,Scorpius,5.21,16.30396,-53.93722
HIP 1772,Lyra,6.62,18.77594,-68.56114
HIP 1773,Draco,2.11,0.10256,-44.74574
HIP 1774,Scorpius,6.14,12.25091,-42.59847
HIP 1775,Cassiopeia,6.36,15.22003,-55.16813
HIP 1776,Draco,7,18.00005,-46.16045
HIP 1777,Draco,3.48,2.72101,-56.93093
HIP 1778,Cassiopeia,5.29,8.73309,-20.11129
HIP 1779,Lyra,6.12,1.22477,-46.39932
HIP 1780,Leo,4.21,7.77416,57.71164
HIP 1781,Taurus,3.04,16.37841,89.29689
HIP 1782,Orion,1.69,15.91237,11.6013
HIP 1783,Aquarius,5.45,1.00251,52.70103
HIP 1784,Taurus,6.07,22.04656,-32.29709
HIP 1785,Ursa Major,2.29,2.80484,-52.53407
HIP 1786,Taurus,3.02,22.1446,-16.94712
HIP 1787,Lyra,4.12,5.45174,58.97584
HIP 1788,Aquarius,3.68,7.00662,29.19517
HIP 1789,Scorpius,2.19,0.5444,8.57033
HIP 1790,Leo,6.49,6.38017,21.35475
HIP 1791,Leo,3.83,3.82097,-22.33573
HIP 1792,Aquarius,2.97,21.74509,-66.86775
HIP 1793,Aquarius,7.02,10.97016,2.05182
HIP 1794,Andromeda,6.52,17.26942,65.52182
HIP 1795,Cygnus,7.7,15.33142,-83.20295
HIP 1796,Draco,3.82,11.06689,-19.236
HIP 1797,Cassiopeia,7.45,10.98643,-40.02764
HIP 1798,Scorpius,7.18,2.92632,76.30166
HIP 1799,Cassiopeia,1.83,19.32968,-42.57827
HIP 1800,Leo,6.62,18.84345,80.44178
HIP 1801,Cygnus,5.7,15.50076,88.01267
HIP 1802,Lyra,1.95,20.84995,86.86608
HIP 1803,Pegasus,5.96,12.99535,44.34247
HIP 1804,Cygnus,7.3,17.87952,-16.11424
HIP 1805,Cassiopeia,4.19,15.7835,-53.75344
HIP 1806,Cassiopeia,3.57,12.60352,-58.03554
HIP 1807,Orion,3.91,5.12083,-81.2136
HIP 1808,Lyra,2.12,2.20413,59.32165
HIP 1809,Leo,7.91,13.69761,-89.74735
HIP 1810,Cassiopeia,2.11,23.89038,44.34339
HIP 1811,Draco,3,15.37942,14.96522
HIP 1812,Cassiopeia,1.23,21.35819,-2.80806
HIP 1813,Leo,4.98,19.2765,-85.74926
HIP 1814,Ursa Major,1.21,15.84997,3.45674
HIP 1815,Orion,6.86,17.92432,35.02331
HIP 1816,Leo,4.8,19.63437,0.7707
HIP 1817,Orion,1.96,14.88628,-75.17897
HIP 1818,Cygnus,2.2,11.35724,6.02448
HIP 1819,Ursa Major,6.76,6.46739,1.61593
HIP 1820,Scorpius,3.95,21.62273,84.05486
HIP 1821,Lyra,6.64,3.24072,29.47638
HIP 1822,Aquarius,7.52,3.82977,-53.12234
HIP 1823,Cygnus,1.27,2.13691,-58.00056
HIP 1824,Leo,1.16,14.05081,0.70049
HIP 1825,Aquarius,4.93,18.48065,-62.78199
HIP 1826,Ursa Major,5.02,17.63564,-38.19287
HIP 1827,Cassiopeia,6.45,12.5758,78.14099
HIP 1828,Cassiopeia,7.77,2.02363,64.00916
HIP 1829,Scorpius,5.15,8.18069,-28.7047
HIP 1830,Leo,5.4,18.20276,-55.29682
HIP 1831,Cygnus,1.16,15.42586,-24.72576
HIP 1832,Scorpius,6.19,14.17305,-86.37854
HIP 1833,Scorpius,3.19,19.89046,73.53752
HIP 1834,Cassiopeia,4.35,1.14553,-89.33056
HIP 1835,Scorpius,7.52,22.6788,-79.41944
HIP 1836,Lyra,1.83,10.19153,27.22044
HIP 1837,Scorpius,7.16,16.64493,1.76005
HIP 1838,Draco,6.66,17.31845,-15.39588
HIP 1839,Cygnus,4.21,23.59283,-66.2208
HIP 1840,Leo,1.78,23.50648,3.45853
HIP 1841,Orion,3.94,7.27839,-9.62714
HIP 1842,Pegasus,4.59,1.0734,-11.60871
HIP 1843,Orion,1.53,19.8494,65.01018
HIP 1844,Ursa Major,6.75,1.11008,26.5546
HIP 1845,Aquarius,4.04,21.34908,75.89314
HIP 1846,Leo,6.61,6.71365,-55.35143
HIP 1847,Draco,4.08,9.35965,-85.69721
HIP 1848,Scorpius,4.77,4.13874,-76.74161
HIP 1849,Draco,6.93,1.62487,-4.13099
HIP 1850,Cassiopeia,4.77,20.02165,-50.90537
HIP 1851,Leo,4.46,10.63778,-59.46567
HIP 1852,Orion,4.73,3.21937,-45.37523
HIP 1853,Ursa Major,7.07,22.86588,77.81012
HIP 1854,Scorpius,5.75,17.06035,31.98839
HIP 1855,Cygnus,4.99,7.58705,57.26301
HIP 1856,Leo,6.85,4.62425,12.76593
HIP 1857,Draco,7.72,19.3019,-66.54426
HIP 1858,Cassiopeia,4.01,12.23646,-40.31716
HIP 1859,Lyra,4.32,13.66394,69.7125
HIP 1860,Cassiopeia,3.72,15.57888,-48.60901
HIP 1861,Orion,5.11,21.84638,-68.67012
HIP 1862,Aquarius,4.41,15.85989,-17.55966
HIP 1863,Ursa Major,3.42,20.18907,12.82068
HIP 1864,Orion,4.82,11.68582,-22.05702
HIP 1865,Draco,1.44,23.97825,-25.83259
HIP 1866,Leo,3.38,1.8528,-16.52083
HIP 1867,Orion,6.87,21.16869,59.99717
HIP 1868,Taurus,6.07,17.03504,44.13736
HIP 1869,Taurus,3.52,4.30921,-42.98514
HIP 1870,Cassiopeia,1.08,14.41035,70.78571
HIP 1871,Scorpius,3.67,19.39854,46.0971
HIP 1872,Lyra,3.99,10.74031,-67.67809
HIP 1873,Scorpius,2.61,20.89068,-77.0618
HIP 1874,Orion,5.82,12.51903,29.50199
HIP 1875,Leo,7.98,19.87289,-39.58136
HIP 1876,Draco,1.06,4.91942,-52.32521
HIP 1877,Aquarius,3.22,2.82075,26.94587
HIP 1878,Ursa Major,4.53,3.38944,-24.35082
HIP 1879,Cassiopeia,2.91,19.99064,-19.00232
HIP 1880,Cygnus,7.25,20.34992,-86.31182
HIP 1881,Aquarius,2.52,5.41455,-50.37431
HIP 1882,Orion,6.51,14.63872,77.85317
HIP 1883,Leo,7.17,15.68896,-78.58016
HIP 1884,Cassiopeia,1.8,7.07984,8.17584
HIP 1885,Draco,5.24,16.07373,60.15606
HIP 1886,Scorpius,2.59,8.04342,47.50699
HIP 1887,Taurus,7.55,10.80135,-79.22174
HIP 1888,Andromeda,2.92,10.53976,64.56429
HIP 1889,Orion,4.23,10.02862,-38.37138
HIP 1890,Orion,1.39,1.40657,-52.81187
HIP 1891,Leo,2.3,1.13381,10.53384
HIP 1892,Cygnus,2.67,17.75707,67.27086
HIP 1893,Andromeda,3.01,5.8326,-54.15842
HIP 1894,Draco,7.6,19.87426,80.20346
HIP 1895,Draco,7.64,19.13904,-83.03798
HIP 1896,Andromeda,5.8,11.02706,-31.91418
HIP 1897,Cygnus,4.46,7.77202,-70.2961
HIP 1898,Taurus,3.98,7.8168,-29.26338
HIP 1899,Lyra,4.21,20.86013,-36.65151
HIP 1900,Orion,1.09,5.00927,-14.58924
HIP 1901,Draco,4.7,9.97073,-39.3623
HIP 1902,Lyra,3.18,21.12226,64.52854
HIP 1903,Orion,3.79,5.68825,12.04554
HIP 1904,Orion,1.24,6.58963,32.22364
HIP 1905,Scorpius,1.34,8.5498,10.37684
HIP 1906,Cygnus,3.02,6.34974,-57.23004
HIP 1907,Draco,7.41,5.1606,3.79253
HIP 1908,Andromeda,7.88,18.15951,-16.42738
HIP 1909,Taurus,7.25,9.04634,-3.61469
HIP 1910,Aquarius,1.5,9.49761,75.52926
HIP 1911,Cygnus,7.43,15.82352,89.36746
HIP 1912,Andromeda,1.35,1.46885,64.50029
HIP 1913,Cygnus,3.57,15.07677,-38.64014
HIP 1914,Aquarius,5.75,1.16429,39.03881
HIP 1915,Ursa Major,3.81,6.76871,0.56942
HIP 1916,Leo,4.28,6.20068,38.95569
HIP 1917,Aquarius,4.88,14.33607,-16.77001
HIP 1918,Leo,4.92,11.36879,51.7925
HIP 1919,Orion,3.33,20.46439,57.72476
HIP 1920,Taurus,3.04,1.00534,51.47773
HIP 1921,Pegasus,5.33,17.77442,54.85286
HIP 1922,Cygnus,3.54,4.56812,34.30679
HIP 1923,Draco,2.88,4.49693,27.87621
HIP 1924,Draco,1.49,9.27474,-72.98665
HIP 1925,Aquarius,4.01,0.84948,-32.38038
HIP 1926,Pegasus,6,0.09079,-6.12778
HIP 1927,Cygnus,3.86,20.62934,-59.01987
HIP 1928,Leo,6.45,23.68712,-30.40181
HIP 1929,Ursa Major,5.81,13.19373,-43.99196
HIP 1930,Aquarius,6.74,10.42039,27.5821
HIP 1931,Draco,3.03,12.19113,-3.20493
HIP 1932,Leo,3.11,8.08659,20.39372
HIP 1933,Lyra,2.58,17.29822,-40.78913
HIP 1934,Lyra,3.07,16.15295,6.01157
HIP 1935,Pegasus,2.55,21.49393,52.64463
HIP 1936,Scorpius,3.08,11.65155,-77.5188
HIP 1937,Draco,2.61,23.65167,-40.9745
HIP 1938,Taurus,7.46,21.79617,-14.61766
HIP 1939,Cygnus,1.35,1.37892,-48.64976
HIP 1940,Cassiopeia,5.8,19.81545,66.57802
HIP 1941,Cygnus,7.66,2.13426,5.09509
HIP 1942,Pegasus,7.98,17.66081,18.41324
HIP 1943,Andromeda,4.2,9.70986,88.6131
HIP 1944,Lyra,7.72,0.57008,72.22225
HIP 1945,Scorpius,3.61,6.66735,41.64176
HIP 1946,Andromeda,4.94,1.45021,-73.99609
HIP 1947,Orion,6.37,7.28161,12.10992
HIP 1948,Lyra,2.7,6.12272,-70.23195
HIP 1949,Scorpius,5.2,11.70425,-71.44113
HIP 1950,Cassiopeia,7.57,5.07165,-86.84001
HIP 1951,Taurus,2.6,21.37294,82.5202
HIP 1952,Ursa Major,2.94,4.14574,51.08396
HIP 1953,Lyra,5.43,7.79812,27.31184
HIP 1954,Cygnus,2.44,5.30163,-55.43863
HIP 1955,Leo,1.66,13.49225,-41.0536
HIP 1956,Leo,4.58,20.69739,41.44188
HIP 1957,Orion,1.97,7.63152,40.35448
HIP 1958,Scorpius,5.74,20.57453,19.30366
HIP 1959,Draco,1.52,21.67212,-73.33352
HIP 1960,Draco,5.75,22.09,16.1188
HIP 1961,Aquarius,6.45,12.33966,31.34309
HIP 1962,Leo,3.41,8.04684,-81.57291
HIP 1963,Draco,7.79,14.80701,80.81566
HIP 1964,Cygnus,4.31,19.54296,-76.46415
HIP 1965,Scorpius,3.46,19.64149,-32.17326
HIP 1966,Orion,1.13,23.10184,35.08283
HIP 1967,Andromeda,2.27,20.82405,33.26578
HIP 1968,Leo,7.97,2.5556,23.87407
HIP 1969,Draco,6.26,6.26767,-46.0437
HIP 1970,Andromeda,3.41,3.15535,-58.97667
HIP 1971,Lyra,4.25,13.40861,-12.62678
HIP 1972,Taurus,1.15,20.98025,59.61595
HIP 1973,Taurus,7.59,5.45253,-25.80185
HIP 1974,Lyra,3.52,12.98327,8.72626
HIP 1975,Ursa Major,5.87,11.77239,-53.7015
HIP 1976,Draco,1.57,11.78179,-27.57743
HIP 1977,Scorpius,6.85,3.93594,32.2314
HIP 1978,Lyra,2.94,23.23784,32.7951
HIP 1979,Ursa Major,6.51,19.89327,75.94825
HIP 1980,Andromeda,7.8,5.09309,64.86427
HIP 1981,Cassiopeia,4.99,15.09368,1.13837
HIP 1982,Cassiopeia,3.36,10.11842,-5.25947
HIP 1983,Leo,4.88,22.18457,1.52655
HIP 1984,Taurus,7.78,2.24131,89.69091
HIP 1985,Pegasus,4.03,12.5064,-82.3824
HIP 1986,Andromeda,2,5.20879,-59.67797
HIP 1987,Pegasus,4.22,7.58105,47.05679
HIP 1988,Scorpius,4.41,9.83137,-23.17851
HIP 1989,Andromeda,4.7,21.96589,-25.55417
HIP 1990,Leo,7.28,5.69826,-2.19527
HIP 1991,Cygnus,1.65,15.36142,-34.71674
HIP 1992,Cassiopeia,1.78,11.49969,53.74998
HIP 1993,Cassiopeia,1.19,18.96178,-17.99495
HIP 1994,Andromeda,7.9,7.52186,-43.03306
HIP 1995,Lyra,5.29,12.6149,-21.53126
HIP 1996,Aquarius,5.49,12.20222,-36.00094
HIP 1997,Pegasus,4.12,4.20518,-60.88819
HIP 1998,Cygnus,5.9,22.34001,17.57853
HIP 1999,Cygnus,1.03,6.04469,68.56443
HIP 2000,Aquarius,2.76,2.64908,80.56437
HIP 2001,Taurus,2.86,10.3475,39.49458
HIP 2002,Scorpius,7.63,11.38157,-84.3264
HIP 2003,Cassiopeia,4.93,4.86562,36.82361
HIP 2004,Taurus,2.31,22.40217,27.01846
HIP 2005,Lyra,7.22,20.87778,-57.54544
HIP 2006,Taurus,2.53,11.31039,-6.68191
HIP 2007,Scorpius,6.92,1.59848,-54.32983
HIP 2008,Orion,1.13,17.46755,47.3065
HIP 2009,Lyra,6.83,6.96186,-73.36744
HIP 2010,Cygnus,2.27,20.14644,-3.98678
HIP 2011,Draco,4.28,22.3668,-12.6237
HIP 2012,Lyra,7.51,16.64391,-81.17465
HIP 2013,Draco,5.43,13.12903,47.03159
HIP 2014,Aquarius,3.39,17.24646,-67.19352
HIP 2015,Andromeda,7.34,0.1581,76.93812
HIP 2016,Ursa Major,5.05,19.65709,-73.70545
HIP 2017,Andromeda,2.43,9.97127,-4.3532
HIP 2018,Orion,1.46,8.0139,-73.82697
HIP 2019,Leo,2.09,3.6056,13.70842
HIP 2020,Ursa Major,1.31,10.06329,43.28223
HIP 2021,Andromeda,6.85,21.19855,60.65062
HIP 2022,Scorpius,1.12,7.42897,-57.38327
HIP 2023,Aquarius,5.51,21.51432,-35.52652
HIP 2024,Andromeda,3.11,15.33658,-14.52256
HIP 2025,Taurus,5.7,23.55996,-86.97465
HIP 2026,Scorpius,6.77,3.85694,-76.79611
HIP 2027,Draco,3.99,10.44752,-66.94878
HIP 2028,Ursa Major,7.67,6.76211,57.03963
HIP 2029,Cygnus,5.1,15.61343,-6.10527
HIP 2030,Cassiopeia,6.47,13.56515,-7.54282
HIP 2031,Scorpius,7.79,13.95583,15.7059
HIP 2032,Aquarius,2.14,22.14962,13.80371
HIP 2033,Andromeda,7.36,20.15122,87.8131
HIP 2034,Taurus,1.43,3.16953,70.64525
